Tipo de jornada	Comunidades y Ciudades Autonómas	Decil	Periodo	Total
Jornada a tiempo completo	18 Ceuta	6	2019	1.776,64
Jornada a tiempo completo	18 Ceuta	7	2019	2.052,96
Jornada a tiempo completo	18 Ceuta	8	2019	2.377,14
Jornada a tiempo completo	18 Ceuta	9	2019	3.063,32
Jornada a tiempo completo	18 Ceuta	10	2019	4.293,71
Jornada a tiempo completo	19 Melilla	Total decil	2019	2.593,97
Jornada a tiempo completo	19 Melilla	1	2019	766,06
Jornada a tiempo completo	19 Melilla	2	2019	1.008,23
Jornada a tiempo completo	19 Melilla	3	2019	1.221,23
Jornada a tiempo completo	19 Melilla	4	2019	1.391,79
Jornada a tiempo completo	19 Melilla	5	2019	1.631,23
Jornada a tiempo completo	19 Melilla	6	2019	1.818,69
Jornada a tiempo completo	19 Melilla	7	2019	2.073,47
Jornada a tiempo completo	19 Melilla	8	2019	2.461,30
Jornada a tiempo completo	19 Melilla	9	2019	3.000,72
Jornada a tiempo completo	19 Melilla	10	2019	4.294,13
